"","logFC","p.value","FDR"
"TUBA1A",-0.0630411415788079,6.86613406777805e-10,1.77572432787363e-08
"AZGP1",-0.181493259912448,1.67491235523016e-30,5.02473706569047e-28
"ASCL3",0.165807089545998,2.41245009258667e-19,2.01037507715555e-17
"STMN1",-0.122031186982221,3.21366303535431e-22,3.70807273310113e-20
"CLCNKB",0.20796807514508,1.85592193502457e-38,5.5677658050737e-35
"HEPACAM2",0.0770619962009646,1.34183504105055e-05,0.000132854954559461
"BPIFA2",0.0636596124524419,6.66317999772441e-09,1.37858896504643e-07
"TMSB4X",0.0659266804513741,3.96117293623676e-11,1.26820460608874e-09
"NREP",-0.165755474577578,9.78405613432816e-26,1.63067602238803e-23
"TMPRSS11E",0.136712096906656,6.02645567353608e-19,4.75772816331796e-17
"CLNK",0.132926513511139,2.3671185061776e-15,1.26899945712577e-13
"FOXI1",0.104252194972335,3.3920451243223e-08,6.0213818774952e-07
"CLCNKA",0.0995649444565137,2.23465290682411e-10,6.15042084447004e-09
"SOX4",-0.118523480840151,1.17335238540467e-19,1.13550230845613e-17
"TPM2",-0.0529441552495563,3.7354398398628e-10,9.91709691998973e-09
"LINC01187",0.0926199856512365,4.71608301351072e-08,7.86013835585119e-07
"KRT7",0.0881855364233824,9.7589087785616e-18,6.970649127544e-16
"STAP1",0.178066200147978,1.77706902352475e-24,2.53867003360678e-22
"TIMP3",0.0979150634383318,1.24887894156517e-15,7.06912608433115e-14
"ID3",0.0661592545012708,1.81764283792844e-07,2.72646425689266e-06
"ANXA1",-0.155888152356358,2.88568028264559e-36,2.88568028264559e-33
"KIT",-0.0925797330908915,2.30307926797721e-05,0.000213908291143394
"SAT1",0.0582787545430401,7.34094114845924e-16,4.31820067556426e-14
"CEL",0.0830491753800353,4.20554820588166e-09,9.48619896063532e-08
"USHBP1",0.0614278716246912,8.61869954959186e-07,1.08639069952839e-05
"ZG16B",0.055864210840999,2.98628327781634e-11,1.00661234083697e-09
"IL1B",-0.0578548614004679,7.84307245113125e-11,2.42569251065915e-09
"CRYM",-0.0858604971275741,8.88864649033726e-16,5.12806528288688e-14
"RCAN2",0.0933754867203254,4.75802843561317e-09,1.04956509609114e-07
"CD9",0.10485274782094,7.66219788785621e-24,9.99417115807332e-22
"TUBB",-0.0587550171160188,1.61076163834464e-12,6.53011475004586e-11
"GADD45G",0.0601271402651529,0.000707803351362515,0.00387483586512326
"BCAT1",0.0518380432733372,1.56431227555939e-06,1.88471358501131e-05
"PDE1C",0.0642535995914297,0.000297336577570336,0.00191008508075162
"MAN1C1",0.0683809704093328,5.35734598717263e-16,3.21440759230358e-14
"NGFR",0.104137092729789,6.23426706315774e-12,2.39779502429144e-10
"CTSS",0.0513574364161159,8.22148495632625e-15,4.25249221878944e-13
"NCALD",0.117837460426892,1.76932641080907e-12,7.07730564323627e-11
"DGKI",0.098745089890768,4.31453142155223e-09,9.61737759614039e-08
"HNRNPA1",-0.0559360425240875,1.36944046298356e-20,1.36944046298356e-18
"CFTR",0.134854822717828,1.68471244306182e-19,1.57941791537046e-17
"MARCKSL1",-0.0600984880844137,1.17702828554818e-09,2.89433184970865e-08
"TFCP2L1",0.0522092192383496,1.16276576711118e-10,3.48829730133355e-09
"ATP6V1B1",0.0839750750219077,2.20137074584604e-13,9.85688393662405e-12
