"","logFC","p.value","FDR"
"MUC5B",-0.0801716251717897,5.01054062596474e-13,3.00632437557885e-11
"S100A9",-0.120662663406013,0.000101333975646567,0.00166121271551749
"SERPINB3",-0.0784336440806949,4.26360391739048e-06,9.8390859632088e-05
"RARRES1",-0.0630640766707247,5.3467638311105e-07,1.39480795594187e-05
"IGFBP3",-0.0519715042747685,0.000662798737812338,0.00841825514605312
"ASCL3",-0.232512634568465,0.00531430550720387,0.0460777934150625
"MS4A8",-0.0906047973356762,0.000836036490780971,0.010023348319678
"HEPACAM2",-0.11337079297204,0.00341177916488618,0.0320856974754186
"PTTG1",0.119341150136508,0.000542375860001093,0.00710536061136804
"GPX2",-0.0995376663600177,0.00157442237628257,0.0171755168321735
"NREP",0.273580807673536,0.00315339642953655,0.0302242469284654
"TNFAIP2",-0.0867349181496775,0.00492805508037288,0.0436111069059547
"SERPINB7",-0.0863386687207688,7.44757022788883e-21,9.71422203637673e-19
"LINC01187",-0.181814314024216,0.00227941384953741,0.0232581309924761
"CP",-0.060246609294813,1.68062777118594e-16,1.36267116582644e-14
"XBP1",-0.0750406899776245,4.30829898374401e-05,0.000788103472636099
"IFI6",-0.061382454345146,6.00510435602377e-08,1.93713043742702e-06
"MIA",-0.0522863971399865,6.06588193316921e-06,0.000132829531383267
"ANXA1",0.346310150464794,8.02862416559042e-05,0.0013685154827711
"MIAT",-0.116330629122939,0.00103914908871992,0.0121775283834366
"NEAT1",-0.130144910536974,1.70951984580197e-07,4.93130724750569e-06
"RFX3",-0.0710225310668705,0.00488857748148733,0.0433897409599467
"TMEM176A",-0.118720917376876,0.00277758172454347,0.0271424924222488
"CDA",-0.235410674661784,0.00136279111839843,0.0151421235377604
"BAALC",-0.107462197365631,6.06302609649521e-11,2.89637781186568e-09
"CD55",-0.0678552319031824,5.79006697810805e-05,0.00101580122422948
"MFAP2",0.065537054664121,0.00160435942506975,0.017438689402932
"GADD45G",-0.111095465902775,0.000553063033268557,0.00721386565132901
"MALAT1",-0.127696571012378,0.000723298808752886,0.00886844862158641
